,Name,Price,OS,Screen_Res,Warranty
19,LG 189 cm (75 inch) Ultra HD (4K) LED Smart WebOS TV,"₹1,89,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
20,SAMSUNG 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,84,990",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
21,SAMSUNG QN85BAKL 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,84,990",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
22,SAMSUNG Q Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,79,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
23,SONY Bravia 163.9 cm (65 inch) Ultra HD (4K) LED Smart Android TV,"₹1,79,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
24,SAMSUNG Series 8 189 cm (75 inch) Ultra HD (4K) LED Smart Tizen TV,"₹5,99,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Comprehensive and 1 Year Additional on Panel from Samsung
25,SONY 215 cm (85 inch) Ultra HD (4K) LCD Smart Android TV,"₹5,22,490",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Manufacturer Warranty
26,SAMSUNG Q Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹4,70,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Warranty on Product and 1 Year Additional Warranty on Panel from Samsung
27,SAMSUNG Q Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹4,40,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Warranty on Product and 1 Year Additional Warranty on Panel from Samsung
28,Hisense U80G Series 189 cm (75 inch) QLED Ultra HD (8K) Smart Android TV,"₹3,99,990",Operating System: Android,Ultra HD (8K) 7680 x 4320 Pixels,2 Years Comprehensive Warranty
29,LG 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV,"₹3,79,990",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.
30,SAMSUNG QN700BK 163 cm (65 inch) QLED Ultra HD (8K) Smart Tizen TV,"₹3,49,990",Operating System: Tizen,Ultra HD (8K) 7680 x 4320 Pixels,1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel
31,SAMSUNG Q Series 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹3,44,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Warranty on Product and 1 Year Additional Warranty on Panel from Samsung
32,SAMSUNG Q Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹3,41,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Comprehensive and 1 Year Additional on Panel from Samsung
33,SAMSUNG Q60BAK 189 cm (75 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹3,39,990",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel
34,SAMSUNG QN800BK 163 cm (65 inch) QLED Ultra HD (8K) Smart Tizen TV,"₹3,34,990",Operating System: Tizen,Ultra HD (8K) 7680 x 4320 Pixels,1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel
35,SAMSUNG Q Series 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹3,14,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Warranty on Product and 1 Year Additional Warranty on Panel from Samsung
36,SONY 215 cm (85 inch) Ultra HD (4K) LCD Smart Android TV,"₹3,09,990",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Manufacturer Warranty
37,SONY 164 cm (65 inch) OLED Ultra HD (4K) Smart Android TV,"₹2,99,990",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Manufacturer Warranty
38,SAMSUNG 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV,"₹2,95,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Brand Warranty
39,SAMSUNG The Frame 189 cm (75 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹2,94,990",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel
40,SAMSUNG Series 6 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV,"₹2,94,900",Operating System: Tizen,Ultra HD (4K) 3840 × 2160 Pixels,1 Year Warranty
41,SAMSUNG Q Series 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹2,74,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Comprehensive and 1 Year Additional on Panel from Samsung
42,LG C9 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV,"₹2,62,999",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.
43,Vu Masterpiece 215 cm (85 inch) QLED Ultra HD (4K) Smart Android TV,"₹2,59,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
44,SAMSUNG Q Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹2,58,999",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Comprehensive and 1 Year Additional on Panel from Samsung
45,LG 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV,"₹2,49,999",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on panel/module
46,SAMSUNG 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹2,41,900",Operating System: Tizen,Ultra HD (4K) 3840x2160 Pixels,1 Year Manufaturer Warranty
47,SAMSUNG Series 7 189 cm (75 inch) Ultra HD (4K) LED Smart Tizen TV,"₹2,39,999",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Comprehensive and 1 Year Additional on Panel from Samsung
